,Date,Open,High,Low,Close,Volume,OpenInt,Name
82400,20190226,1.99,2.07,1.9,1.93,448986,0,wse
82401,20190227,1.93,1.94,1.89,1.89,235776,0,wse
82402,20190228,1.9,1.97,1.85,1.9,165543,0,wse
82403,20190301,1.92,1.97,1.87,1.92,389168,0,wse
82404,20190304,1.96,1.97,1.89,1.925,143522,0,wse
82405,20190305,1.925,1.93,1.89,1.92,44311,0,wse
82406,20190306,1.89,1.895,1.865,1.865,124339,0,wse
82407,20190307,1.865,1.89,1.845,1.87,135495,0,wse
82408,20190308,1.885,1.885,1.83,1.86,68490,0,wse
82409,20190311,1.84,1.94,1.81,1.92,182047,0,wse
82410,20190312,1.915,1.93,1.84,1.9,105622,0,wse
82411,20190313,1.88,2.11,1.88,2.01,706892,0,wse
82412,20190314,1.98,2.15,1.97,2.13,638515,0,wse
82413,20190315,2.14,2.25,2.14,2.23,891084,0,wse
82414,20190318,2.23,2.27,2.14,2.15,440343,0,wse
82415,20190319,2.13,2.23,2.12,2.18,197740,0,wse
82416,20190320,2.18,2.19,2.02,2.11,245967,0,wse
82417,20190321,2.1,2.15,2.06,2.14,67702,0,wse
82418,20190322,2.13,2.13,2.04,2.1,147029,0,wse
82419,20190325,2.04,2.09,1.97,2.0,168294,0,wse
82420,20190326,2.0,2.09,1.975,2.08,76266,0,wse
82421,20190327,2.09,2.15,1.99,2.03,212310,0,wse
82422,20190328,2.03,2.13,1.97,2.11,248039,0,wse
82423,20190329,2.12,2.15,2.08,2.12,59870,0,wse
82424,20190401,2.15,2.15,2.07,2.1,31421,0,wse
82425,20190402,2.08,2.095,2.045,2.07,41503,0,wse
82426,20190403,2.065,2.2,2.02,2.15,289950,0,wse
82427,20190404,2.15,2.15,2.06,2.125,72959,0,wse
82428,20190405,2.1,2.14,1.72,1.95,422288,0,wse
82429,20190408,1.966,2.02,1.9,1.9980000000000002,104048,0,wse
82430,20190409,1.9980000000000002,2.03,1.96,1.996,23008,0,wse
82431,20190410,1.98,2.03,1.95,2.015,53647,0,wse
82432,20190411,2.04,2.055,2.015,2.045,60640,0,wse
82433,20190412,2.035,2.055,1.98,2.04,19744,0,wse
82434,20190415,2.04,2.06,2.01,2.035,18756,0,wse
82435,20190416,2.035,2.035,1.93,1.936,46055,0,wse
82436,20190417,1.9340000000000002,1.94,1.82,1.87,71515,0,wse
82437,20190418,1.83,1.88,1.82,1.88,27678,0,wse
82438,20190423,1.88,1.92,1.86,1.876,13154,0,wse
82439,20190424,1.89,1.9980000000000002,1.88,1.99,61538,0,wse
82440,20190425,1.87,2.01,1.87,2.0,141360,0,wse
82441,20190426,1.94,2.05,1.94,2.03,77563,0,wse
82442,20190429,1.986,2.06,1.9580000000000002,2.045,89134,0,wse
82443,20190430,2.045,2.065,1.982,2.0,59501,0,wse
82444,20190502,2.11,2.55,2.11,2.55,2236758,0,wse
82445,20190506,2.5,2.8,2.4,2.61,1368172,0,wse
82446,20190507,2.59,2.59,2.35,2.35,522184,0,wse
82447,20190508,2.33,2.42,2.08,2.26,677956,0,wse
82448,20190509,2.33,2.33,2.175,2.29,75081,0,wse
82449,20190510,2.24,2.415,2.24,2.39,360057,0,wse
82450,20190513,2.4,2.495,2.335,2.455,119328,0,wse
82451,20190514,2.49,2.49,2.36,2.38,137151,0,wse
82452,20190515,2.38,2.43,2.37,2.4,88006,0,wse
82453,20190516,2.38,2.38,2.275,2.305,104281,0,wse
82454,20190517,2.27,2.37,2.27,2.275,51399,0,wse
82455,20190520,2.275,2.43,2.27,2.42,123846,0,wse
82456,20190521,2.41,2.41,2.18,2.21,190927,0,wse
82457,20190522,2.19,2.265,2.19,2.255,58780,0,wse
82458,20190523,2.215,2.255,2.195,2.235,20055,0,wse
82459,20190524,2.175,2.275,2.15,2.22,47919,0,wse
82460,20190527,2.165,2.24,2.165,2.24,54936,0,wse
82461,20190528,2.24,2.24,2.185,2.2,9392,0,wse
82462,20190529,2.215,2.215,2.125,2.2,38473,0,wse
82463,20190530,2.2,2.35,2.185,2.345,71258,0,wse
82464,20190531,2.4,2.4,2.26,2.28,332534,0,wse
82465,20190603,2.25,2.27,2.19,2.21,49307,0,wse
82466,20190604,2.175,2.23,2.165,2.2,73457,0,wse
82467,20190605,2.2,2.235,2.15,2.17,55244,0,wse
82468,20190606,2.175,2.3,2.145,2.2,69755,0,wse
82469,20190607,2.25,2.25,2.17,2.195,41423,0,wse
82470,20190610,2.22,2.28,2.175,2.225,66829,0,wse
82471,20190611,2.23,2.255,2.2,2.2,20131,0,wse
82472,20190612,2.2,2.2,2.16,2.17,21244,0,wse
82473,20190613,2.195,2.21,2.175,2.2,22944,0,wse
